,id,pos_keywords,neg_keywords
0,4CxF8c3MB7VAdY8zFb2cZQ,"['elvis', 'batman', 'thunderbolt', 'cupcakeries', 'buttermilk']","['diabetes', 'hotpants', 'vegan', 'blueberry', 'halloween']"
1,OQ2oHkcWA8KNC1Lsvj1SBA,"['steaks', 'apricot', 'blueberries', 'sandwiches', 'gingerbread']","['waiter', 'bacon', 'vegan', 'waitress', 'buttermilk']"
2,PrsvO1rzkgg6qFizlAoEtg,"['marscapone', 'lobstertail', 'pizzeria', 'buttery', 'strawberries']","['cancer', 'desert', 'italians', 'vegan', 'cupcakes']"
3,zioLxtBc9THNS2TOn9xW1w,"['trout', 'tequila', 'lemonade', 'waitresses', 'steakhouse']","['appetizers', 'catfish', 'vegans', 'pepsi', 'steak']"
4,y2w6rFaO0XEiG5mFfOsiFA,"['shellfish', 'corncake', 'avocado', 'cheeseburger', 'tuna']","['shrimps', 'johnnycake', 'bartender', 'dinner', 'cheeseburger']"
5,MGzro82Fi4LYvc86acoONQ,"['vegans', 'flavorful', 'peppercorn', 'steak', 'meatfest']","['ketchup', 'wednesdays', 'thursday', 'butcher', 'beef']"
6,n73rxa6e6-fTIxQzfv4BuA,"['steak', 'blueberries', 'pancake', 'vegans', 'beerfest']","['lunch', 'tasty', 'blueberry', 'bacon', 'strawberries']"
7,cs6HfZNykLVitm09jWFqWg,"['vegetarian', 'pancakes', 'grapefruit', 'cornflakes', 'lemonade']","['lemonade', 'waiter', 'corndog', 'vegetarians', 'steak']"
8,bZiIIUcpgxh8mpKMDhdqbA,"['watermelon', 'cookies', 'tuna', 'vegan', 'steak']","['vegan', 'milkshakes', 'baking', 'mushrooms', 'hamburger']"
9,qLJUDPOamhLdbtfbcWyHnA,"['blueberry', 'beef', 'cookbook', 'popcorn', 'vegan']","['oven', 'beef', 'sodas', 'vegetarian', 'waiter']"
